Database ID (database_id),CARRIERS ID (carriers_id),DNA Failed QC (caqc_fail),Sequencing Protocol (sub_seq_protocol),DNA Buffer (cast_buffer),Plate Barcode (cast_plate_barcode),Plate Location in Couch Lab (cast_plate_lab_location),Plate Coordinate (sub_plate_coordinate),Plate Volume (uL) (sub_plate_vol),Plate Concentration (ng/uL) (sub_plate_conc),Quibit Result (ng/uL) (caqc_qubit),Was stock sample modified (caqc_mod),Date Working Plate Created (cawk_plate_date),Working Plate Barcode (cawk_plate_barcode),Working Plate Coordinate (cawk_plate_coordinate),Working Plate Volume Water Added (uL) (cawk_plate_vol_water),Working Plate Volume Sample Added (uL) (cawk_plate_vol_stock),Working Plate Total Volume (uL) (cawk_plate_vol),Working Plate Final Concentration (ng/uL) (cawk_plate_conc),Working Plate Location in Couch Lab (cawk_plate_lab_location),Working Plate Complete (cawk_complete),Send sample to UPenn (caup_upenn)
1,CA00000001,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A01,10,50,,0,,,A01,,,,,,0,0
2,CA00000002,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A02,10,50,,0,,,A02,,,,,,0,0
3,CA00000003,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A03,10,50,,0,,,A03,,,,,,0,0
4,CA00000004,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A04,10,50,,0,,,A04,,,,,,0,0
5,CA00000005,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
6,CA00000006,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
7,CA00000007,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
8,CA00000008,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
9,CA00000009,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
10,CA00000010,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
11,CA00000011,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
12,CA00000012,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
13,CA00000013,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
14,CA00000014,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
15,CA00000015,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
16,CA00000016,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
17,CA00000017,0,Qiagen,1XTE,CAST00000001,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
