Name of Source,Well,Volume,Name of Dest Plate,Well,Volume
,A1,15,,A1,5
,A2,14,,A2,6
,A3,13,,A3,7
,A4,12,,A4,8
,A5,15,,A5,5
,A6,14,,A6,6
,A7,13,,A7,7
,A8,12,,A8,8
,A9,15,,A9,5
,A10,14,,A10,6
,A11,13,,A11,7
,A12,12,,A12,8
,B1,15,,B1,5
,B2,14,,B2,6
,B3,13,,B3,7
,B4,12,,B4,8
,B5,15,,B5,5
,B6,14,,B6,6
,B7,13,,B7,7
,B8,12,,B8,8
,B9,15,,B9,5
,B10,14,,B10,6
,B11,13,,B11,7
,B12,12,,B12,8
,C1,15,,C1,5
,C2,14,,C2,6
,C3,13,,C3,7
,C4,12,,C4,8
,C5,15,,C5,5
,C6,14,,C6,6
,C7,13,,C7,7
,C8,12,,C8,8
,C9,15,,C9,5
,C10,14,,C10,6
,C11,13,,C11,7
,C12,12,,C12,8
,D1,15,,D1,5
,D2,14,,D2,6
,D3,13,,D3,7
,D4,12,,D4,8
,D5,15,,D5,5
,D6,14,,D6,6
,D7,13,,D7,7
,D8,12,,D8,8
,D9,15,,D9,5
,D10,14,,D10,6
,D11,13,,D11,7
,D12,12,,D12,8
,E1,15,,E1,5
,E2,14,,E2,6
,E3,13,,E3,7
,E4,12,,E4,8
,E5,15,,E5,5
,E6,14,,E6,6
,E7,13,,E7,7
,E8,12,,E8,8
,E9,15,,E9,5
,E10,14,,E10,6
,E11,13,,E11,7
,E12,12,,E12,8
,F1,15,,F1,5
,F2,14,,F2,6
,F3,13,,F3,7
,F4,12,,F4,8
,F5,15,,F5,5
,F6,14,,F6,6
,F7,13,,F7,7
,F8,12,,F8,8
,F9,15,,F9,5
,F10,14,,F10,6
,F11,13,,F11,7
,F12,12,,F12,8
,G1,15,,G1,5
,G2,14,,G2,6
,G3,13,,G3,7
,G4,12,,G4,8
,G5,15,,G5,5
,G6,14,,G6,6
,G7,13,,G7,7
,G8,12,,G8,8
,G9,15,,G9,5
,G10,14,,G10,6
,G11,13,,G11,7
,G12,12,,G12,8
,A1,16,,H1,4
,A2,14,,H2,6
,A3,13,,H3,7
,B9,18,,H4,2
,B10,14,,H5,6
,B11,16,,H6,4
,B12,12,,H7,8
,C1,15,,H8,5
,C2,14,,H9,6
,C3,13,,H10,7
,C4,12,,H11,8
,C5,15,,H12,5
